2025-11-26 05:09:35,864 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,866 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,866 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,866 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,868 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,019 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,019 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,019 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,019 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,021 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,175 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,175 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,176 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,176 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,176 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,177 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,177 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,177 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,177 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,177 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,177 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,180 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,180 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,180 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,180 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,331 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,489 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,489 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,489 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,489 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,491 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,491 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,491 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,491 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,491 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,491 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,493 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,493 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,493 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,493 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,493 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,649 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,649 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,649 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,650 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,650 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,650 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,651 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,804 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,804 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,805 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,805 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,805 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,805 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,807 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,807 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,807 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,807 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,807 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,807 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,807 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,807 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,810 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,961 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,961 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,961 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,961 [WARNING] Query failed, no connection available
